Make Model,Sales volume
Rolls-Royce Cullinan,22
BMW i7,22
Hyundai Ioniq 9,20
BMW 4 Series Gran Coupe,19
Jaguar F-Type,18
Hyundai EX10,18
Mercedes-Benz SL-Class,18
Volkswagen California,17
Peugeot Boxer,17
Hyundai EX8,17
Chevrolet Corvette E-Ray,16
BMW 8 Series Gran Coupe,15
BMW 8 Series,15
Genesis GV60,14
Rolls-Royce Sedan,13
Maserati Coupe/Conv,11
DAF (MD),11
Rolls-Royce Coupe/Conv,10
Mazda CX-8,9
LDV T60/T60 EV 4X2,9
GWM Ute 4X2,8
Lexus LS,8
Renault Captur,7
Maserati Ghibli,7
RAM 3500,7
Lotus Eletre,6
Bentley Sedan,6
Citroen C3,6
Mazda MX-30,5
Peugeot 5008 (Gen 2),4
Maserati Levante,4
Peugeot 208/e208,4
Volkswagen Passat Alltrack,3
Jaguar XE,3
Hyundai Mighty,3
Jaguar I-Pace,3
Lotus Emeya,3
Mercedes-AMG GT 4D,3
Audi A8,3
Volkswagen Caravelle,3
LDV Mifa9,3
Peugeot 508,2
Citroen C5 X,2
Toyota Mirai,2
Mercedes-Benz EQS,2
Ford Puma,1
Mazda CX-9,1
Renault Megane,1
Mercedes-Benz E-Class Cpe/Conv,1
Foton Mobility (HD),1
Citroen C5 Aircross,0
Citroen C4,0
Mercedes-Benz Marco Polo,0
Mercedes-Benz EQC,0
Volkswagen Arteon,0
Mercedes (LD),0
Tesla Model Y,0
Tesla Model 3,0
Polestar 2,0
MINI Clubman,0
Audi TT,0
Mercedes-Benz C-Class Cpe/Conv,0
Jaguar XF,0
SEA Electric (MD),0
Dodge Journey,0
BMW 6 Series GT,0
SEA Electric (HD),0
Freightliner (MD),0
Mercedes-Benz B-Class,0
Hyundai Nexo,0
