jato_make,jato_model,carexpert_make,carexpert_model,url,match_status
"LDV","MIFA 9","ldv","mifa","https://www.carexpert.com.au/ldv/mifa","MATCHED"
"LDV","T60 Max","ldv","t60","https://www.carexpert.com.au/ldv/t60","MATCHED"
"LDV","Terron 9","ldv","terron-9","https://www.carexpert.com.au/ldv/terron-9","MATCHED"
"LDV","eDeliver 7","ldv","edeliver-7","https://www.carexpert.com.au/ldv/edeliver-7","MATCHED"
"LDV","eDeliver 9","ldv","edeliver-7","https://www.carexpert.com.au/ldv/edeliver-7","MATCHED"
"Lamborghini","Huracan","lamborghini","huracan","https://www.carexpert.com.au/lamborghini/huracan","MATCHED"
"Lamborghini","Revuelto","lamborghini","revuelto","https://www.carexpert.com.au/lamborghini/revuelto","MATCHED"
"Lamborghini","Urus","lamborghini","urus","https://www.carexpert.com.au/lamborghini/urus","MATCHED"
"Land Rover","Defender","land-rover","defender","https://www.carexpert.com.au/land-rover/defender","MATCHED"
"Land Rover","Discovery","land-rover","discovery","https://www.carexpert.com.au/land-rover/discovery","MATCHED"
"Land Rover","Discovery Sport","land-rover","discovery-sport","https://www.carexpert.com.au/land-rover/discovery-sport","MATCHED"
"Land Rover","Range Rover","land-rover","range-rover","https://www.carexpert.com.au/land-rover/range-rover","MATCHED"
"Land Rover","Range Rover Evoque","land-rover","range-rover-evoque","https://www.carexpert.com.au/land-rover/range-rover-evoque","MATCHED"
"Land Rover","Range Rover Sport","land-rover","range-rover-sport","https://www.carexpert.com.au/land-rover/range-rover-sport","MATCHED"
"Land Rover","Range Rover Velar","land-rover","range-rover-velar","https://www.carexpert.com.au/land-rover/range-rover-velar","MATCHED"
"Leapmotor","C10","leapmotor","c10","https://www.carexpert.com.au/leapmotor/c10","MATCHED"
"Lexus","ES","lexus","es","https://www.carexpert.com.au/lexus/es","MATCHED"
"Lexus","GX","lexus","gx","https://www.carexpert.com.au/lexus/gx","MATCHED"
"Lexus","LBX","lexus","lbx","https://www.carexpert.com.au/lexus/lbx","MATCHED"
"Lexus","LC","lexus","lc","https://www.carexpert.com.au/lexus/lc","MATCHED"
"Lexus","LM","lexus","lm","https://www.carexpert.com.au/lexus/lm","MATCHED"
"Lexus","LS","lexus","ls","https://www.carexpert.com.au/lexus/ls","MATCHED"
"Lexus","LX","lexus","lx","https://www.carexpert.com.au/lexus/lx","MATCHED"
"Lexus","NX","lexus","nx","https://www.carexpert.com.au/lexus/nx","MATCHED"
"Lexus","RX","lexus","rx","https://www.carexpert.com.au/lexus/rx","MATCHED"
"Lexus","RZ","lexus","rz","https://www.carexpert.com.au/lexus/rz","MATCHED"
"Lexus","UX","lexus","ux","https://www.carexpert.com.au/lexus/ux","MATCHED"
"Lotus","Eletre","lotus","eletre","https://www.carexpert.com.au/lotus/eletre","MATCHED"
"Lotus","Emeya","lotus","emeya","https://www.carexpert.com.au/lotus/emeya","MATCHED"
"Lotus","Emira","lotus","emira","https://www.carexpert.com.au/lotus/emira","MATCHED"
"MG","Cyberster","mg","cyberster","https://www.carexpert.com.au/mg/cyberster","MATCHED"
"MG","MG HS","mg","mg3","https://www.carexpert.com.au/mg/mg3","MATCHED"
"MG","MG QS","mg","mg3","https://www.carexpert.com.au/mg/mg3","MATCHED"
"MG","MG ZS","mg","mg3","https://www.carexpert.com.au/mg/mg3","MATCHED"
"MG","MG ZST","mg","mg3","https://www.carexpert.com.au/mg/mg3","MATCHED"
"MG","MG3","mg","mg3","https://www.carexpert.com.au/mg/mg3","MATCHED"
"MG","MG4","mg","mg4","https://www.carexpert.com.au/mg/mg4","MATCHED"
"MG","MG5","mg","mg5","https://www.carexpert.com.au/mg/mg5","MATCHED"
"MG","S5","","","","UNMATCHED"
"MINI","Aceman","mini","aceman","https://www.carexpert.com.au/mini/aceman","MATCHED"
"MINI","Cooper","mini","cooper","https://www.carexpert.com.au/mini/cooper","MATCHED"
"MINI","Countryman","mini","countryman","https://www.carexpert.com.au/mini/countryman","MATCHED"
"Mahindra","Scorpio","mahindra","scorpio","https://www.carexpert.com.au/mahindra/scorpio","MATCHED"
"Mahindra","XUV 3XO","mahindra","xuv3xo","https://www.carexpert.com.au/mahindra/xuv3xo","MATCHED"
"Mahindra","XUV700","mahindra","xuv700","https://www.carexpert.com.au/mahindra/xuv700","MATCHED"
"Maserati","Ghibli","maserati","ghibli","https://www.carexpert.com.au/maserati/ghibli","MATCHED"
"Maserati","Grancabrio","maserati","grancabrio","https://www.carexpert.com.au/maserati/grancabrio","MATCHED"
"Maserati","Granturismo","maserati","granturismo","https://www.carexpert.com.au/maserati/granturismo","MATCHED"
"Maserati","Grecale","maserati","grecale","https://www.carexpert.com.au/maserati/grecale","MATCHED"
"Maserati","Levante","maserati","levante","https://www.carexpert.com.au/maserati/levante","MATCHED"
"Maserati","MC20","maserati","mc20","https://www.carexpert.com.au/maserati/mc20","MATCHED"
"Maserati","Quattroporte","maserati","quattroporte","https://www.carexpert.com.au/maserati/quattroporte","MATCHED"
"Mazda","BT-50","mazda","bt-50","https://www.carexpert.com.au/mazda/bt-50","MATCHED"
"Mazda","CX-3","mazda","cx-3","https://www.carexpert.com.au/mazda/cx-3","MATCHED"
"Mazda","CX-30","mazda","cx-30","https://www.carexpert.com.au/mazda/cx-30","MATCHED"
"Mazda","CX-5","mazda","cx-5","https://www.carexpert.com.au/mazda/cx-5","MATCHED"
"Mazda","CX-60","mazda","cx-60","https://www.carexpert.com.au/mazda/cx-60","MATCHED"
"Mazda","CX-70","mazda","cx-70","https://www.carexpert.com.au/mazda/cx-70","MATCHED"
"Mazda","CX-8","mazda","cx-8","https://www.carexpert.com.au/mazda/cx-8","MATCHED"
"Mazda","CX-80","mazda","cx-80","https://www.carexpert.com.au/mazda/cx-80","MATCHED"
"Mazda","CX-9","mazda","cx-9","https://www.carexpert.com.au/mazda/cx-9","MATCHED"
"Mazda","CX-90","mazda","cx-90","https://www.carexpert.com.au/mazda/cx-90","MATCHED"
"Mazda","MX-5","mazda","mx-5","https://www.carexpert.com.au/mazda/mx-5","MATCHED"
"Mazda","Mazda2","mazda","mazda2","https://www.carexpert.com.au/mazda/mazda2","MATCHED"
"Mazda","Mazda3","mazda","mazda3","https://www.carexpert.com.au/mazda/mazda3","MATCHED"
"Mazda","Mazda6","mazda","mazda6","https://www.carexpert.com.au/mazda/mazda6","MATCHED"
"McLaren","750S","mclaren","750s","https://www.carexpert.com.au/mclaren/750s","MATCHED"
"McLaren","Artura","mclaren","artura","https://www.carexpert.com.au/mclaren/artura","MATCHED"
"McLaren","GT","mclaren","mclaren-gt","https://www.carexpert.com.au/mclaren/mclaren-gt","MATCHED"
"McLaren","GTS","","","","UNMATCHED"
"Mercedes-Benz","A-Class","mercedes-benz","a-class","https://www.carexpert.com.au/mercedes-benz/a-class","MATCHED"
"Mercedes-Benz","AMG GT","mercedes-amg","gt","https://www.carexpert.com.au/mercedes-amg/gt","UNMATCHED"
"Mercedes-Benz","C-Class","mercedes-benz","c-class","https://www.carexpert.com.au/mercedes-benz/c-class","MATCHED"
"Mercedes-Benz","CLA","mercedes-benz","cla","https://www.carexpert.com.au/mercedes-benz/cla","MATCHED"
"Mercedes-Benz","CLE","mercedes-amg","amg-cle","https://www.carexpert.com.au/mercedes-amg/amg-cle","MATCHED"
"Mercedes-Benz","E-Class","mercedes-benz","e-class","https://www.carexpert.com.au/mercedes-benz/e-class","MATCHED"
"Mercedes-Benz","EQA","mercedes-benz","eqa","https://www.carexpert.com.au/mercedes-benz/eqa","MATCHED"
"Mercedes-Benz","EQB","mercedes-benz","eqb","https://www.carexpert.com.au/mercedes-benz/eqb","MATCHED"
"Mercedes-Benz","EQE","mercedes-benz","eqe","https://www.carexpert.com.au/mercedes-benz/eqe","MATCHED"
"Mercedes-Benz","EQS","mercedes-benz","eqs","https://www.carexpert.com.au/mercedes-benz/eqs","MATCHED"
"Mercedes-Benz","EQV","mercedes-benz","eqv","https://www.carexpert.com.au/mercedes-benz/eqv","MATCHED"
"Mercedes-Benz","G-class","mercedes-benz","g","https://www.carexpert.com.au/mercedes-benz/g","MATCHED"
"Mercedes-Benz","GLA","mercedes-benz","gla","https://www.carexpert.com.au/mercedes-benz/gla","MATCHED"
"Mercedes-Benz","GLB","mercedes-benz","glb","https://www.carexpert.com.au/mercedes-benz/glb","MATCHED"
"Mercedes-Benz","GLC","mercedes-benz","glc","https://www.carexpert.com.au/mercedes-benz/glc","MATCHED"
"Mercedes-Benz","GLC Coupe","mercedes-benz","glc","https://www.carexpert.com.au/mercedes-benz/glc","MATCHED"
"Mercedes-Benz","GLE","mercedes-benz","gle","https://www.carexpert.com.au/mercedes-benz/gle","MATCHED"
"Mercedes-Benz","GLE Coupe","mercedes-benz","gle","https://www.carexpert.com.au/mercedes-benz/gle","MATCHED"
"Mercedes-Benz","GLS","mercedes-benz","gls","https://www.carexpert.com.au/mercedes-benz/gls","MATCHED"
"Mercedes-Benz","S-Class","mercedes-benz","s-class","https://www.carexpert.com.au/mercedes-benz/s-class","MATCHED"
"Mercedes-Benz","SL","mercedes-benz","sl","https://www.carexpert.com.au/mercedes-benz/sl","MATCHED"
"Mercedes-Benz","Sprinter","mercedes-benz","sprinter","https://www.carexpert.com.au/mercedes-benz/sprinter","MATCHED"
